Layer,Expert_ID,Total_Activations,Shapley_Value
2,76,1599,105.65752070201306
2,87,1574,103.42510196514516
2,62,1588,102.84949226739329
2,4,1392,93.04577102129949
2,2,1351,88.49893979421509
2,123,1314,87.76274404510754
2,10,1306,86.52391546162505
2,84,1243,83.80694985168839
2,81,1181,79.61662120773453
2,82,1192,77.0611982662732
2,38,1103,74.17095383759762
2,70,1098,72.08767317221155
2,88,1062,70.47182054134215
2,116,1036,67.76248972288053
2,50,1033,66.8287476280836
2,24,1014,66.69302697441552
2,90,1050,66.61568409343737
2,53,981,65.67212923920714
2,73,1001,64.26700964034175
2,46,956,61.67627330029981
2,109,933,61.327101797696685
2,122,916,59.56463972314845
2,8,919,58.84576612903168
2,107,888,58.03267070939074
2,14,900,57.6595522803109
2,57,906,56.45492345992889
2,121,847,55.57413642786232
2,119,816,55.224983619546656
2,67,802,53.61373748609623
2,15,817,53.263914637662815
2,9,839,53.220899038147124
2,117,822,51.515572858732476
2,27,804,51.49661239761331
2,54,759,49.983698362165256
2,100,752,49.69326187346184
2,77,753,49.37662217278478
2,72,741,47.483314794215545
2,60,725,47.306350490443805
2,52,713,46.41268075639635
2,39,671,45.207501799385106
2,7,661,44.47199563300752
2,6,640,41.08936399921483
2,127,611,40.82512315270944
2,59,625,40.71364015572845
2,25,587,39.221820541342126
2,68,570,37.86614757137569
2,93,560,36.90112029238841
2,95,553,36.586704525496195
2,115,546,35.37109133605241
2,80,518,34.002152149731536
2,64,494,32.44160177975548
2,111,475,31.380588040765875
2,69,462,29.564742718246748
2,45,440,28.32395472093185
2,113,444,28.028218488378972
2,30,414,27.19976218787159
2,12,422,26.563803531701925
2,41,391,26.058253462751566
2,108,395,25.513070077864366
2,126,378,24.93464961067867
2,51,378,23.049114400616048
2,92,329,21.80970824342981
2,44,302,20.02224694104566
2,75,402,19.131105268480145
2,0,297,18.890939427646895
2,65,263,17.035389115478154
2,23,260,16.787170930663663
2,125,251,16.70050055617353
2,97,261,16.365920982161274
2,99,250,16.154523544679257
2,17,247,15.914978631227687
2,16,252,15.731765453678705
2,31,218,12.82991202346042
2,56,203,12.528288136243338
2,94,179,11.456793697715884
2,106,180,11.144422265226208
2,112,164,10.845383759733043
2,104,164,10.404417606864778
2,18,150,9.396551724137925
2,48,143,9.07692575083425
2,78,132,7.570912124582879
2,37,128,7.356658913944794
2,33,117,6.8573667711598825
2,103,108,6.739944968093208
2,118,82,4.399729858573014
2,29,64,4.203579373907516
2,86,64,3.898562505347821
2,71,49,3.1127776382360337
2,55,42,2.537541713014462
2,83,46,2.502780867630702
2,21,35,2.0639251946607344
2,42,25,1.6072317194543648
2,124,26,1.3752259454949947
2,3,29,1.37305339265851
2,36,24,1.2989579064457588
2,11,22,1.2484936967000375
2,89,16,0.9733036707452725
2,58,18,0.9617167222840195
2,20,14,0.6187430478309234
